@relation trainingSet

@attribute Document string
@attribute @@class@@ {AuthenticationBypass, CrossSiteScripting, DenialOfService, DirectoryTraversal, FileInclude, InformationDisclosure, Overflow, RemoteCodeExecution, SQLinjection,UnspecifiedVulnerability}

@data
"befor q e remot attack caus denial servic null pointer derefer applic crash rsa pss signatur lack mask gener function paramet ", DenialOfService
"label decompress function auth allow remot attack caus denial servic cpu consumpt crash request long name refer itself note vulner exist becaus incomplet fix ", DenialOfService
"cisco through through allow remot attack caus denial servic devic reload packet requir nat mpl action aka bug id ", DenialOfService
"directori travers vulner befor remot authent user bypass intend restrict list parent directori slash dot dot pathnam us web applic getresourc call demonstr directori ", DirectoryTraversal
"directori travers vulner class remot attack write arbitrari file dot dot zip archiv entri mishandl dure extractto call ", DirectoryTraversal
"directori travers vulner befor when run window remot attack read arbitrari file dot dot resourc ", DirectoryTraversal
"directori travers vulner allow remot attack read arbitrari file unspecifi vector relat snapshot api call ", DirectoryTraversal
"directori travers vulner earlier befor when us ntf fat filesystem remot attack read arbitrari cgi file trail plu encod plu dot encod dot encod space charact possibl relat httpservlet filehandl function documentroot option ", DirectoryTraversal
"directori travers vulner befor through when run system support backslash path separ case insensit file name remot attack access arbitrari file encod backslash sequenc filenam match pattern option ", DirectoryTraversal
"directori travers vulner when site plugin enabl remot attack read arbitrari file unspecifi vector ", DirectoryTraversal
"directori travers vulner gi editor befor remot authent user includ execut arbitrari local file craft geometri type paramet ", DirectoryTraversal
"directori travers vulner error report featur befor remot authent user obtain potenti sensit inform about file' line count craft paramet ", DirectoryTraversal
"directori travers vulner remot attack read arbitrari file dot dot skin paramet note can leverag execut arbitrari code obtain ldap credenti access servic admin soap api ", DirectoryTraversal
"directori travers vulner allow remot attack read arbitrari web applic file rel pathnam wicket resourc correspond null packag ", DirectoryTraversal
"multipl directori travers face jsf befor allow remot attack read arbitrari file dot dot ln paramet ", DirectoryTraversal
"directori travers vulner web interfac build remot attack obtain properti inform arbitrari home folder properti action dot dot src paramet ", DirectoryTraversal
"directori travers vulner web interfac build remot attack list all usernam go action dot dot search bar valu ", DirectoryTraversal
"directori travers vulner web interfac build remot attack copi arbitrari user' home folder move action dot dot src paramet ", DirectoryTraversal
"directori travers vulner plugin allow remot attack creat arbitrari file unspecifi vector ", DirectoryTraversal
"directori travers vulner plugin allow remot attack creat arbitrari file unspecifi vector ", DirectoryTraversal
"directori travers vulner function us allow remot attack read arbitrari file dot dot backslash default uri ", DirectoryTraversal
"directori travers lighttpd allow remot attack read arbitrari file dot dot host name relat ", DirectoryTraversal
"directori travers vulner allow remot attack read arbitrari file dot dot full pathnam tr paramet solr select when respons writer wt paramet set xslt note can leverag us separ xxe xml extern entiti vulner access file across restrict network boundari ", DirectoryTraversal
"directori travers vulner method umaninv servic zcm remot attack read arbitrari file dot dot filenam paramet getfil action zenwork unmaninv ", DirectoryTraversal
"directori travers vulner epolici epo allow remot attack upload arbitrari file craft request over agent server commun channel demonstr write softwar directori ", DirectoryTraversal
"directori travers vulner featur  allow remot authent user read arbitrari file possibl have unspecifi other impact paramet specifi craft export type ", DirectoryTraversal
"travers vulner linux unix remot authent user modifi data unspecifi vector ", DirectoryTraversal
"directori travers vulner agent interfac befor support pack support pack remot attack read arbitrari file directori travers sequenc request ", DirectoryTraversal
"directori travers vulner modul window remot authent user modifi delet read arbitrari file pathnam file field ", DirectoryTraversal
"directori travers vulner allow remot attack overwrit arbitrari file craft applic file ", DirectoryTraversal
"directori travers vulner allow remot attack includ execut arbitrari local file encod dot dot slash paramet ", DirectoryTraversal
"directori travers vulner distribut allow remot attack creat file arbitrari directori dot dot pathnam within http request ", DirectoryTraversal
"directori travers vulner store procedur befor through through through remot attack replac jar file unspecifi vector ", DirectoryTraversal
"directori travers vulner allow remot attack read arbitrari file paramet ", DirectoryTraversal
"file upload implement doe properli handl invalid open squar bracket charact name valu which make easier remot attack caus denial servic malform index conduct directori travers attack dure multi file upload leverag script lack it own filenam restrict ", DirectoryTraversal
"directori travers vulner allow remot authent user read write arbitrari file list creat arbitrari directori dot dot colon forward slash list put get command ", DirectoryTraversal
"directori travers oscommerc remot attack includ execut arbitrari local file dot dot set paramet b c set paramet paramet filter paramet templat paramet ", DirectoryTraversal
"default configur pjl access valu file system extern access setmfp printer color mfp printer printer enabl pjl command us device' filesystem which remot attack read arbitrari file command insid print job demonstr directori travers attack ", DirectoryTraversal
"multipl directori travers earlier remot attack read arbitrari file dot dot page paramet certain php script under wp admin import paramet demonstr discov full path request wp config pathnam remot attack modifi arbitrari file dot dot file paramet ", DirectoryTraversal
"directori travers vulner earlier remot attack read arbitrari file delet arbitrari file caus denial servic dot dot backup paramet action note might same ", DirectoryTraversal
"directori travers vulner administr consol allow remot attack read arbitrari file dot dot ", DirectoryTraversal
"directori travers vulner through remot attack read arbitrari file filesystem idm server directori travers sequenc ext paramet ", DirectoryTraversal
"directori travers vulner allow remot attack have unspecifi impact craft loadplugin directori ", DirectoryTraversal
"directori travers vulner server through remot attack access arbitrari file directori travers sequenc ", DirectoryTraversal
"directori travers vulner allow remot attack read arbitrari file dot dot backslash other sequenc ", DirectoryTraversal
"multipl directori travers administr consol earlier remot attack read arbitrari file local paramet cfide administr ", DirectoryTraversal
"directori travers vulner probabl earlier version remot authent user read delet arbitrari file sequenc comb command ", DirectoryTraversal
"directori travers vulner probabl earlier version remot authent user read arbitrari file determin file size sequenc xcrc command ", DirectoryTraversal
"directori travers vulner ichat x when aim us remot attack creat arbitrari file directori travers sequenc inlin imag transfer oper ", DirectoryTraversal
"travers vulner oscommerc remot attack view arbitrari file dot dot filenam argument ", DirectoryTraversal
"directori travers vulner anteco visual technolog ownserv earlier remot attack read arbitrari file dot dot url ", DirectoryTraversal
"directori travers vulner through possibl earlier version possibl earlier version remot attack read arbitrari file dot dot queri string ", DirectoryTraversal
"directori travers vulner safenet sentinel protect server earlier earlier remot attack read arbitrari file dot dot backslash uri note issu reportedli exist becaus incomplet fix ", DirectoryTraversal
"befor when server configur ip base virtual host remot attack includ execut arbitrari file http host header ", FileInclude
"method cgihttpserv modul remot attack read script sourc code http get request lack slash charact begin uri ", FileInclude
"php remot file includ vulner remot attack execut arbitrari php code url glob rootdir paramet ", FileInclude
"directori travers vulner allow remot attack includ execut arbitrari local file dot dot action paramet relat ", FileInclude
"disput directori travers vulner remot attack includ execut arbitrari local file dot dot paramet note issu ha been disput reliabl third parti ", FileInclude
"php remot file inclus vulner earlier when enabl remot attack execut arbitrari php code url autoloadconfig loadfil paramet ", FileInclude
"directori travers vulner earlier remot attack includ possibl execut arbitrari local file directori travers sequenc typefilt paramet ", FileInclude
"file inclus vulner oscommerc execut arbitrari command paramet ", FileInclude
"php remot file inclus vulner oscommerc remot attack execut arbitrari php code paramet ", FileInclude
"multipl php remot file inclus allow remot attack execut arbitrari php code url paramet ", FileInclude
"php remot file inclus vulner allow remot attack execut arbitrari php code url variabl ", FileInclude
"directori travers vulner allow remot attack read arbitrari local file dot dot sequenc variabl ", FileInclude
"directori travers vulner allow remot attack read arbitrari file dot dot rout paramet ", FileInclude
"php remot file inclus vulner allow remot attack execut arbitrari php code paramet ", FileInclude
"travers vulner phpgroupwar phpgw allow remot attack includ execut arbitrari local file dot dot app paramet ", FileInclude
"directori travers vulner allow remot attack includ execut arbitrari local file dot dot cmd paramet ", FileInclude
"directori travers vulner earlier when disabl remot attack read arbitrari file dot dot modul paramet ", FileInclude
"directori travers vulner groupwar allow remot attack includ execut arbitrari local file directori travers sequenc _imag driver name ", FileInclude
"script xss vulner tag cloud search script groupwar allow remot attack inject arbitrari web script unspecifi vector ", FileInclude
"cross site script xss vulner remot attack inject arbitrari web script html style attribut url bbcode tag privat messag ", FileInclude
"multipl directori travers when enabl remot attack includ execut arbitrari local file dot dot xoopsconfig languag paramet ", FileInclude
"directori travers vulner earlier when enabl remot attack read arbitrari file dot dot _languag paramet ", FileInclude
"multipl directori travers pm earlier punbb remot attack includ execut arbitrari file dot dot paramet includ pm ", FileInclude
"directori travers vulner cpanel remot attack includ execut arbitrari local file directori travers sequenc paramet goahead action note issu onli cross privileg boundari when secur set activ sinc exploit requir upload execut code home directori ", FileInclude
"php remot file inclus vulner allow remot attack execut arbitrari php code url paramet ", FileInclude
"directori travers vulner function cpg earlier when charset utf remot attack includ execut arbitrari local file dot dot lang part serial data _data cooki ", FileInclude
"directori travers vulner allow remot attack includ execut arbitrari file languag paramet user prefer page ", FileInclude
"directori travers vulner remot attack includ execut arbitrari local file dot dot fct paramet note proven inform unknown detail obtain sole from third parti inform ", FileInclude
"cross site script xss vulner allow remot attack inject arbitrari web script html fct paramet note proven inform unknown detail obtain sole from third parti inform ", FileInclude
"php remot file inclus vulner aka idebox remot attack execut arbitrari php code url gorumdir paramet ", FileInclude
"earlier doe requir authent set action modifi configur file which remot attack conduct directori travers attack execut arbitrari local file place directori travers sequenc configur set send request which caus us modifi configur ", FileInclude
"disput multipl php remot file inclus smf remot attack execut arbitrari php code url paramet paramet note cve multipl third parti disput issu becaus file contain protect mechan against direct request ", FileInclude
"php remot file inclus vulner phpprofil remot attack execut arbitrari php code url content paramet ", FileInclude
"directori travers vulner allow remot attack includ execut arbitrari local file dot dot lang paramet ", FileInclude
"multipl directori travers earlier remot attack read arbitrari file dot dot s paramet admin page pg paramet arbitrari modul demonstr read password hash dtb file under dati membri execut embed php code imag under upload avatar ", FileInclude
"travers vulner earlier remot attack includ execut arbitrari local file dot dot phpex paramet ", FileInclude
"directori travers vulner allow remot attack includ execut arbitrari local file dot dot filenam paramet differ vector than note proven inform unknown detail obtain sole from third parti inform ", FileInclude
"directori travers vulner allow remot attack includ execut arbitrari local file dot dot selskin paramet note can leverag remot file inclus includ specifi url xposbox l arrai paramet ", FileInclude
"multipl directori travers earlier remot attack includ execut arbitrari file absolut pathnam paramet encod sequenc paramet ", FileInclude
"php remot file inclus vulner cpg remot attack execut arbitrari php code url sourcedir paramet ", FileInclude
"multipl directori travers allow remot attack includ execut arbitrari local file dot dot lang paramet ", FileInclude
"multipl directori travers allow remot attack includ execut arbitrari local file dot dot lang cooki languag paramet ", FileInclude
"disput php remot file inclus vulner allow remot attack execut arbitrari php code url paramet note cve disput issu sinc set constant valu ", FileInclude
"php remot file inclus vulner earlier remot attack execut arbitrari code url paramet ", FileInclude
"earlier when enabl remot attack overwrit variabl xoopsopt nocommon conduct directori travers attack includ php file xoopsconfig languag demonstr inject php sequenc log file ", FileInclude
"multipl php remot file inclus phpraid through remot attack execut arbitrari php code url paramet when phpbb portal enabl url paramet when smf portal enabl ", FileInclude
"disput php remot file inclus vulner remot attack execut arbitrari php code url paramet note cve disput vulner becaus set constant valu ", FileInclude
"php remot file inclus vulner possibl through remot attack execut arbitrari php code url scoreid paramet ", FileInclude
"remot file inclus vulner ttcm earlier remot attack execut arbitrari code paramet ", FileInclude
"php remot file inclus vulner allow remot attack execut arbitrari php code url paramet differ vector than ", FileInclude
"earlier doe prevent page render insid frame third parti html document which make easier remot attack conduct clickjack attack craft web site ", CrossSiteScripting
"multipl cross site script xss earlier remot attack inject arbitrari web script html vector involv drop down select list greater than charact squirrelspel spellcheck plugin error associ index order aka page ", CrossSiteScripting
"multipl cross site request forgeri csrf earlier remot attack hijack authent unspecifi victim vector involv empti trash implement index order aka page differ issu than ", CrossSiteScripting
"cross site script xss vulner asm remot attack inject arbitrari web script html paramet ", CrossSiteScripting
"script xss vulner allow remot authent user inject arbitrari web script html real name field which present reader articl file upload demonstr htm html js file ", CrossSiteScripting
"multipl cross site script xss allow remot attack inject arbitrari web script html unspecifi vector relat edit templat list' info attribut web administr interfac differ vulner than ", CrossSiteScripting
"unspecifi vulner elog ha unknown impact attack vector when logbook contain html code probabl cross site script xss ", CrossSiteScripting
"cross site script xss vulner modul earlier seri earlier seri earlier seri remot authent user inject arbitrari web script html upload file name contain xss sequenc file extens which lead inject within multipl choic http respons when extens omit request file ", CrossSiteScripting
"crlf inject vulner modul earlier seri earlier seri earlier seri remot authent user inject arbitrari http header conduct http respons split attack upload file multi line name contain http header sequenc file extens which lead inject within multipl choic http respons when extens omit request file ", CrossSiteScripting
"directori travers vulner interfac allow remot authent user write arbitrari file directori dot dot paramet ", CrossSiteScripting
"function mishandl case thumbnail offset exce file size which remot attack obtain sensit inform from process memori craft tiff imag ", InformationDisclosure
"ae ni implement h doe consid memori alloc dure certain pad check which remot attack obtain sensit cleartext inform pad oracl attack against ae cbc session note vulner exist becaus incorrect fix ", InformationDisclosure
"allow remot attack obtain sensit stack layout inform craft edg side includ esi respons relat incorrect us assert compil optim ", InformationDisclosure
"cross site script xss vulner remot attack inject arbitrari web script html contact name ", CrossSiteScripting
"remot attack obtain sensit inform about upload file rss feed search result ", InformationDisclosure
"function earlier remot attack obtain sensit inform q paramet which reveal instal path error messag ", InformationDisclosure
"openid modul befor remot openid server read arbitrari file craft doctyp declar xrd file ", InformationDisclosure
"doe properli sanit fail login attempt page contain sortabl tabl which includ usernam password link can read from http refer header extern web site visit from those link when page cach enabl page cach ", InformationDisclosure
"remot attack obtain sensit node titl read menu ", InformationDisclosure
